gene:Et_10A_000251 gene:Et_10A_000994
gene:Et_8A_057457 gene:Et_8A_057456
gene:Et_8A_057461 gene:Et_8A_057462
gene:Et_8A_057461 gene:Et_8A_056356
gene:Et_8A_057462 gene:Et_8A_056356
gene:Et_8A_057466 gene:Et_8A_057468
gene:Et_8A_057482 gene:Et_8A_057487
gene:Et_8A_058261 gene:Et_8A_058263
gene:Et_8A_058263 gene:Et_8A_057513
gene:Et_8A_057513 gene:Et_8A_057516
gene:Et_8A_057516 gene:Et_8A_057514
gene:Et_8A_057516 gene:Et_8A_057515
gene:Et_8A_057514 gene:Et_8A_057515
gene:Et_8A_057538 gene:Et_8A_057539
gene:Et_8A_057541 gene:Et_8A_058279
gene:Et_8A_057547 gene:Et_8A_057545
gene:Et_8A_057547 gene:Et_8A_058282
gene:Et_8A_057545 gene:Et_8A_058283
gene:Et_8A_058283 gene:Et_8A_058284
gene:Et_8A_058283 gene:Et_8A_057546
gene:Et_8A_058290 gene:Et_8A_057555
gene:Et_8A_058291 gene:Et_8A_058295
gene:Et_8A_057555 gene:Et_8A_058294
gene:Et_8A_057555 gene:Et_8A_057557
gene:Et_8A_058294 gene:Et_8A_057557
gene:Et_8A_057557 gene:Et_8A_057556
gene:Et_8A_058296 gene:Et_8A_058297
gene:Et_8A_057594 gene:Et_8A_057598
gene:Et_8A_057595 gene:Et_8A_057608
gene:Et_8A_057599 gene:Et_8A_057600
gene:Et_8A_057608 gene:Et_8A_058330
gene:Et_8A_058335 gene:Et_8A_057619
gene:Et_8A_058336 gene:Et_8A_057619
gene:Et_8A_057638 gene:Et_8A_058350
gene:Et_8A_057649 gene:Et_8A_057647
gene:Et_8A_057647 gene:Et_8A_058355
gene:Et_8A_057647 gene:Et_8A_057648
gene:Et_8A_057658 gene:Et_8A_057657
gene:Et_8A_057652 gene:Et_8A_057653
gene:Et_8A_058370 gene:Et_8A_058371
gene:Et_8A_058371 gene:Et_8A_058372
gene:Et_8A_058376 gene:Et_8A_058379
gene:Et_8A_057698 gene:Et_8A_057692
gene:Et_8A_057712 gene:Et_8A_057713
gene:Et_8A_058386 gene:Et_8A_057707
gene:Et_8A_058390 gene:Et_8A_058387
gene:Et_8A_057731 gene:Et_8A_058402
gene:Et_8A_058401 gene:Et_8A_057730
gene:Et_8A_058401 gene:Et_8A_058402
gene:Et_8A_057730 gene:Et_8A_058402
gene:Et_8A_057730 gene:Et_8A_058403
gene:Et_8A_058402 gene:Et_8A_058403
gene:Et_8A_057740 gene:Et_8A_058398
gene:Et_8A_058398 gene:Et_8A_057739
gene:Et_8A_058398 gene:Et_8A_058399
gene:Et_8A_057739 gene:Et_8A_058399
gene:Et_8A_058399 gene:Et_8A_058407
gene:Et_8A_057794 gene:Et_8A_057797
gene:Et_8A_056390 gene:Et_8A_056392
gene:Et_8A_057798 gene:Et_8A_057800
gene:Et_8A_057802 gene:Et_8A_057799
gene:Et_8A_057811 gene:Et_8A_058427
gene:Et_8A_057818 gene:Et_8A_058435
gene:Et_8A_057818 gene:Et_8A_057817
gene:Et_8A_057820 gene:Et_8A_057823
gene:Et_8A_057821 gene:Et_8A_057822
gene:Et_8A_057822 gene:Et_8A_058441
gene:Et_8A_058441 gene:Et_8A_058443
gene:Et_8A_058447 gene:Et_8A_057838
gene:Et_8A_056399 gene:Et_8A_058455
gene:Et_8A_058450 gene:Et_8A_057838
gene:Et_8A_057838 gene:Et_8A_058451
gene:Et_8A_058452 gene:Et_8A_057839
gene:Et_8A_057848 gene:Et_8A_057849
gene:Et_8A_058460 gene:Et_8A_058461
gene:Et_8A_057850 gene:Et_8A_057852
gene:Et_8A_057854 gene:Et_8A_057853
gene:Et_8A_058467 gene:Et_8A_057862
gene:Et_8A_058468 gene:Et_8A_057862
gene:Et_8A_058465 gene:Et_8A_057866
gene:Et_8A_058465 gene:Et_8A_057860
gene:Et_8A_057866 gene:Et_8A_057860
gene:Et_8A_057874 gene:Et_8A_057877
gene:Et_8A_057875 gene:Et_8A_057876
gene:Et_8A_057877 gene:Et_8A_057881
gene:Et_8A_057878 gene:Et_8A_057879
gene:Et_8A_057879 gene:Et_8A_057882
gene:Et_8A_058474 gene:Et_8A_057882
gene:Et_8A_057891 gene:Et_8A_057902
gene:Et_8A_057903 gene:Et_8A_058485
gene:Et_8A_057905 gene:Et_8A_057906
gene:Et_8A_057920 gene:Et_8A_057918
gene:Et_8A_057920 gene:Et_8A_057922
gene:Et_8A_057918 gene:Et_8A_057922
gene:Et_8A_057921 gene:Et_8A_058494
gene:Et_8A_057922 gene:Et_8A_057925
gene:Et_8A_058495 gene:Et_8A_057928
gene:Et_8A_057934 gene:Et_8A_057929
gene:Et_8A_056413 gene:Et_8A_057940
gene:Et_8A_058502 gene:Et_8A_058503
gene:Et_8A_057941 gene:Et_8A_057942
gene:Et_8A_056450 gene:Et_8A_056447
gene:Et_8A_056462 gene:Et_8A_056458
gene:Et_8A_056462 gene:Et_8A_057969
gene:Et_8A_056458 gene:Et_8A_056460
gene:Et_8A_057969 gene:Et_8A_056460
gene:Et_8A_056481 gene:Et_8A_056480
gene:Et_8A_057976 gene:Et_8A_057974
gene:Et_8A_056510 gene:Et_8A_056509
gene:Et_8A_056510 gene:Et_8A_056166
gene:Et_8A_056509 gene:Et_8A_056166
gene:Et_8A_056166 gene:Et_8A_056507
gene:Et_8A_056166 gene:Et_8A_057987
gene:Et_8A_056507 gene:Et_8A_057987
gene:Et_8A_056508 gene:Et_8A_056515
gene:Et_8A_056515 gene:Et_8A_056514
gene:Et_8A_056168 gene:Et_8A_056527
gene:Et_8A_057997 gene:Et_8A_058002
gene:Et_8A_058002 gene:Et_8A_056529
gene:Et_8A_058002 gene:Et_8A_056528
gene:Et_8A_056529 gene:Et_8A_056528
gene:Et_8A_056553 gene:Et_8A_056552
gene:Et_8A_056553 gene:Et_8A_056548
gene:Et_8A_056552 gene:Et_8A_056547
gene:Et_8A_056548 gene:Et_8A_056549
gene:Et_8A_056551 gene:Et_8A_056555
gene:Et_8A_056172 gene:Et_8A_056565
gene:Et_8A_058011 gene:Et_8A_056050
gene:Et_8A_056565 gene:Et_8A_056050
gene:Et_8A_056572 gene:Et_8A_056573
gene:Et_8A_056572 gene:Et_8A_056575
gene:Et_8A_056573 gene:Et_8A_056575
gene:Et_8A_056574 gene:Et_8A_056575
gene:Et_8A_056575 gene:Et_8A_056576
gene:Et_8A_056576 gene:Et_8A_056580
gene:Et_8A_056577 gene:Et_8A_058012
gene:Et_8A_056052 gene:Et_8A_056053
gene:Et_8A_056180 gene:Et_8A_056604
gene:Et_8A_056604 gene:Et_8A_058016
gene:Et_8A_056183 gene:Et_8A_056185
gene:Et_8A_056193 gene:Et_8A_056194
gene:Et_8A_056193 gene:Et_8A_056641
gene:Et_8A_056194 gene:Et_8A_056641
gene:Et_8A_056641 gene:Et_8A_056643
gene:Et_8A_056643 gene:Et_8A_056642
gene:Et_8A_056643 gene:Et_8A_056644
gene:Et_8A_056642 gene:Et_8A_056645
gene:Et_8A_056647 gene:Et_8A_056644
gene:Et_8A_056647 gene:Et_8A_056645
gene:Et_8A_056644 gene:Et_8A_056645
gene:Et_8A_056644 gene:Et_8A_056646
gene:Et_8A_056645 gene:Et_8A_056646
gene:Et_8A_056649 gene:Et_8A_056652
gene:Et_8A_058023 gene:Et_8A_056651
gene:Et_8A_056652 gene:Et_8A_056651
gene:Et_8A_056659 gene:Et_8A_056059
gene:Et_8A_056660 gene:Et_8A_056662
gene:Et_8A_056662 gene:Et_8A_056668
gene:Et_8A_056663 gene:Et_8A_058027
gene:Et_8A_058027 gene:Et_8A_056201
gene:Et_8A_056201 gene:Et_8A_056202
gene:Et_8A_056202 gene:Et_8A_056678
gene:Et_8A_056678 gene:Et_8A_056671
gene:Et_8A_056671 gene:Et_8A_058029
gene:Et_8A_056671 gene:Et_8A_056060
gene:Et_8A_058029 gene:Et_8A_056060
gene:Et_8A_056060 gene:Et_8A_058028
gene:Et_8A_056673 gene:Et_8A_056672
gene:Et_8A_056673 gene:Et_8A_056674
gene:Et_8A_056672 gene:Et_8A_056675
gene:Et_8A_056672 gene:Et_8A_056674
gene:Et_8A_058028 gene:Et_8A_056676
gene:Et_8A_056699 gene:Et_8A_058041
gene:Et_8A_056699 gene:Et_8A_056701
gene:Et_8A_058041 gene:Et_8A_056701
gene:Et_8A_056710 gene:Et_8A_058044
gene:Et_8A_056738 gene:Et_8A_058049
gene:Et_8A_058047 gene:Et_8A_058048
gene:Et_8A_058051 gene:Et_8A_056740
gene:Et_8A_056217 gene:Et_8A_056746
gene:Et_8A_056749 gene:Et_8A_056751
gene:Et_8A_058054 gene:Et_8A_058053
gene:Et_8A_056756 gene:Et_8A_056754
gene:Et_8A_056756 gene:Et_8A_056757
gene:Et_8A_056765 gene:Et_8A_056767
gene:Et_8A_058058 gene:Et_8A_056783
gene:Et_8A_056785 gene:Et_8A_056787
gene:Et_8A_056808 gene:Et_8A_056233
gene:Et_8A_056804 gene:Et_8A_056232
gene:Et_8A_056813 gene:Et_8A_056810
gene:Et_8A_056812 gene:Et_8A_058066
gene:Et_8A_056825 gene:Et_8A_056824
gene:Et_8A_056081 gene:Et_8A_056829
gene:Et_8A_056832 gene:Et_8A_056239
gene:Et_8A_056832 gene:Et_8A_058075
gene:Et_8A_056239 gene:Et_8A_058075
gene:Et_8A_058075 gene:Et_8A_056834
gene:Et_8A_058075 gene:Et_8A_056838
gene:Et_8A_056834 gene:Et_8A_056838
gene:Et_8A_056838 gene:Et_8A_058074
gene:Et_8A_056842 gene:Et_8A_056841
gene:Et_8A_056842 gene:Et_8A_056848
gene:Et_8A_056845 gene:Et_8A_056844
gene:Et_8A_056846 gene:Et_8A_056847
gene:Et_8A_056847 gene:Et_8A_056851
gene:Et_8A_056847 gene:Et_8A_056850
gene:Et_8A_056851 gene:Et_8A_056850
gene:Et_8A_056851 gene:Et_8A_056249
gene:Et_8A_056850 gene:Et_8A_056249
gene:Et_8A_056246 gene:Et_8A_056247
gene:Et_8A_056247 gene:Et_8A_056855
gene:Et_8A_056855 gene:Et_8A_056245
gene:Et_8A_056086 gene:Et_8A_056865
gene:Et_8A_056866 gene:Et_8A_058077
gene:Et_8A_056865 gene:Et_8A_058079
gene:Et_8A_058079 gene:Et_8A_058077
gene:Et_8A_058077 gene:Et_8A_056867
gene:Et_8A_058077 gene:Et_8A_056088
gene:Et_8A_056867 gene:Et_8A_056088
gene:Et_8A_056870 gene:Et_8A_056871
gene:Et_8A_056874 gene:Et_8A_056872
gene:Et_8A_056880 gene:Et_8A_056882
gene:Et_8A_056885 gene:Et_8A_056888
gene:Et_8A_056886 gene:Et_8A_056887
gene:Et_8A_056888 gene:Et_8A_056090
gene:Et_8A_056903 gene:Et_8A_056904
gene:Et_8A_058090 gene:Et_8A_058091
gene:Et_8A_058090 gene:Et_8A_056934
gene:Et_8A_058091 gene:Et_8A_056934
gene:Et_8A_056094 gene:Et_8A_056941
gene:Et_8A_056953 gene:Et_8A_056952
gene:Et_8A_058098 gene:Et_8A_056977
gene:Et_8A_058097 gene:Et_8A_056979
gene:Et_8A_056984 gene:Et_8A_056981
gene:Et_8A_056991 gene:Et_8A_056988
gene:Et_8A_056295 gene:Et_8A_057019
gene:Et_8A_056295 gene:Et_8A_058106
gene:Et_8A_057019 gene:Et_8A_058106
gene:Et_8A_057021 gene:Et_8A_058107
gene:Et_8A_057021 gene:Et_8A_058108
gene:Et_8A_058111 gene:Et_8A_056104
gene:Et_8A_057026 gene:Et_8A_056104
gene:Et_8A_058112 gene:Et_8A_057027
gene:Et_8A_058112 gene:Et_8A_057039
gene:Et_8A_057027 gene:Et_8A_057039
gene:Et_8A_057039 gene:Et_8A_057031
gene:Et_8A_057038 gene:Et_8A_057040
gene:Et_8A_057037 gene:Et_8A_057046
gene:Et_8A_057055 gene:Et_8A_057056
gene:Et_8A_057054 gene:Et_8A_057056
gene:Et_8A_057056 gene:Et_8A_057058
gene:Et_8A_057053 gene:Et_8A_056108
gene:Et_8A_057058 gene:Et_8A_057059
gene:Et_8A_057059 gene:Et_8A_057062
gene:Et_8A_057061 gene:Et_8A_058115
gene:Et_8A_057061 gene:Et_8A_058116
gene:Et_8A_058115 gene:Et_8A_058117
gene:Et_8A_058117 gene:Et_8A_058118
gene:Et_8A_058117 gene:Et_8A_057063
gene:Et_8A_058118 gene:Et_8A_057063
gene:Et_8A_057065 gene:Et_8A_057066
gene:Et_8A_057072 gene:Et_8A_057073
gene:Et_8A_057073 gene:Et_8A_057075
gene:Et_8A_057073 gene:Et_8A_057074
gene:Et_8A_057075 gene:Et_8A_057074
gene:Et_8A_057082 gene:Et_8A_056304
gene:Et_8A_056304 gene:Et_8A_057083
gene:Et_8A_056304 gene:Et_8A_057081
gene:Et_8A_057083 gene:Et_8A_057081
gene:Et_8A_058141 gene:Et_8A_057096
gene:Et_8A_057096 gene:Et_8A_057098
gene:Et_8A_057110 gene:Et_8A_056306
gene:Et_8A_058144 gene:Et_8A_058145
gene:Et_8A_057135 gene:Et_8A_057136
gene:Et_8A_057151 gene:Et_8A_057149
gene:Et_8A_057149 gene:Et_8A_057150
gene:Et_8A_057169 gene:Et_8A_057168
gene:Et_8A_057169 gene:Et_8A_057166
gene:Et_8A_057168 gene:Et_8A_057166
gene:Et_8A_058153 gene:Et_8A_058154
gene:Et_8A_057185 gene:Et_8A_057187
gene:Et_8A_057190 gene:Et_8A_057188
gene:Et_8A_057188 gene:Et_8A_057189
gene:Et_8A_057193 gene:Et_8A_057195
gene:Et_8A_057192 gene:Et_8A_057195
gene:Et_8A_058160 gene:Et_8A_058158
gene:Et_8A_057198 gene:Et_8A_058159
gene:Et_8A_057203 gene:Et_8A_057204
gene:Et_8A_057235 gene:Et_8A_057234
gene:Et_8A_058174 gene:Et_8A_058175
gene:Et_8A_057285 gene:Et_8A_056123
gene:Et_8A_057281 gene:Et_8A_058187
gene:Et_8A_058189 gene:Et_8A_058190
gene:Et_8A_057295 gene:Et_8A_057303
gene:Et_8A_057304 gene:Et_8A_056333
gene:Et_8A_057300 gene:Et_8A_057299
gene:Et_8A_058193 gene:Et_8A_056336
gene:Et_8A_057306 gene:Et_8A_057307
gene:Et_8A_058194 gene:Et_8A_057319
gene:Et_8A_057337 gene:Et_8A_057336
gene:Et_8A_057339 gene:Et_8A_057341
gene:Et_8A_056344 gene:Et_8A_057342
gene:Et_8A_056346 gene:Et_8A_057353
gene:Et_8A_057354 gene:Et_8A_057353
gene:Et_8B_058767 gene:Et_8B_059817
gene:Et_8B_059908 gene:Et_8B_059909
gene:Et_8B_060099 gene:Et_8B_060101
gene:Et_8B_060103 gene:Et_8B_060101
gene:Et_8B_060103 gene:Et_8B_060104
gene:Et_8B_060101 gene:Et_8B_060100
gene:Et_8B_060101 gene:Et_8B_060104
gene:Et_8B_060100 gene:Et_8B_060104
gene:Et_8B_060100 gene:Et_8B_060102
gene:Et_8B_060104 gene:Et_8B_060102
gene:Et_8B_060104 gene:Et_8B_060183
gene:Et_8B_060102 gene:Et_8B_060183
gene:Et_8B_060190 gene:Et_8B_060774
gene:Et_8B_060183 gene:Et_8B_060182
gene:Et_8B_060182 gene:Et_8B_060184
gene:Et_8B_060812 gene:Et_8B_060809
gene:Et_8B_060809 gene:Et_8B_060810
gene:Et_8B_060841 gene:Et_8B_060844
gene:Et_8B_058857 gene:Et_8B_060362
gene:Et_8B_058997 gene:Et_8B_058989
gene:Et_8B_060382 gene:Et_8B_060381
gene:Et_8B_059056 gene:Et_8B_060393
gene:Et_8B_059056 gene:Et_8B_058647
gene:Et_8B_058648 gene:Et_8B_058647
gene:Et_8B_060395 gene:Et_8B_059099
gene:Et_8B_059062 gene:Et_8B_059099
gene:Et_8B_059099 gene:Et_8B_060410
gene:Et_8B_060409 gene:Et_8B_059100
gene:Et_8B_060410 gene:Et_8B_059100
gene:Et_8B_059108 gene:Et_8B_059107
gene:Et_8B_059109 gene:Et_8B_059188
gene:Et_8B_059272 gene:Et_8B_059267
gene:Et_8B_059345 gene:Et_8B_060457
gene:Et_8B_059345 gene:Et_8B_059346
gene:Et_8B_060457 gene:Et_8B_059346
gene:Et_8B_060457 gene:Et_8B_060458
gene:Et_8B_059346 gene:Et_8B_060458
gene:Et_8B_060510 gene:Et_8B_060528
gene:Et_8B_059544 gene:Et_8B_059628
gene:Et_8B_059630 gene:Et_8B_060526
gene:Et_8B_059629 gene:Et_8B_060526
gene:Et_8B_059715 gene:Et_8B_059717
gene:Et_8B_059719 gene:Et_8B_060559
gene:Et_8B_059741 gene:Et_8B_059739
gene:Et_8B_059741 gene:Et_8B_059742
gene:Et_8B_059739 gene:Et_8B_059742
gene:Et_8B_059739 gene:Et_8B_059740
gene:Et_8B_059742 gene:Et_8B_059740
gene:Et_8B_059753 gene:Et_8B_059760
gene:Et_8B_059761 gene:Et_8B_059756
gene:Et_8B_060572 gene:Et_8B_060571
gene:Et_8B_059775 gene:Et_8B_059774
gene:Et_8B_059783 gene:Et_8B_060578
gene:Et_8B_060578 gene:Et_8B_060579
gene:Et_8B_059787 gene:Et_8B_060582
gene:Et_8B_060587 gene:Et_8B_059805
gene:Et_8B_060587 gene:Et_8B_060591
gene:Et_8B_059805 gene:Et_8B_059807
gene:Et_8B_060591 gene:Et_8B_059803
gene:Et_8B_059806 gene:Et_8B_059808
gene:Et_8B_060594 gene:Et_8B_059823
gene:Et_8B_059849 gene:Et_8B_059847
gene:Et_8B_059847 gene:Et_8B_059850
gene:Et_8B_059847 gene:Et_8B_059848
gene:Et_8B_059850 gene:Et_8B_059848
gene:Et_8B_059848 gene:Et_8B_059852
gene:Et_8B_060629 gene:Et_8B_059871
gene:Et_8B_059873 gene:Et_8B_059872
gene:Et_8B_059873 gene:Et_8B_059875
gene:Et_8B_059872 gene:Et_8B_059875
gene:Et_8B_060631 gene:Et_8B_059882
gene:Et_8B_059889 gene:Et_8B_059881
gene:Et_8B_059889 gene:Et_8B_059882
gene:Et_8B_059881 gene:Et_8B_059882
gene:Et_8B_060636 gene:Et_8B_059891
gene:Et_8B_060636 gene:Et_8B_059882
gene:Et_8B_059891 gene:Et_8B_059882
gene:Et_8B_059891 gene:Et_8B_059892
gene:Et_8B_059882 gene:Et_8B_059892
gene:Et_8B_059882 gene:Et_8B_059890
gene:Et_8B_060639 gene:Et_8B_060648
gene:Et_8B_060651 gene:Et_8B_059918
gene:Et_8B_059931 gene:Et_8B_060666
gene:Et_8B_059951 gene:Et_8B_059945
gene:Et_8B_059947 gene:Et_8B_059949
gene:Et_8B_059945 gene:Et_8B_059946
gene:Et_8B_059957 gene:Et_8B_059956
gene:Et_8B_059966 gene:Et_8B_059965
gene:Et_8B_059966 gene:Et_8B_059967
gene:Et_8B_059965 gene:Et_8B_059967
gene:Et_8B_059956 gene:Et_8B_059961
gene:Et_8B_059956 gene:Et_8B_059962
gene:Et_8B_059961 gene:Et_8B_059962
gene:Et_8B_059962 gene:Et_8B_059963
gene:Et_8B_060674 gene:Et_8B_059972
gene:Et_8B_059977 gene:Et_8B_059976
gene:Et_8B_060014 gene:Et_8B_060011
gene:Et_8B_060014 gene:Et_8B_060693
gene:Et_8B_060011 gene:Et_8B_060693
gene:Et_8B_060011 gene:Et_8B_060694
gene:Et_8B_060693 gene:Et_8B_060694
gene:Et_8B_060693 gene:Et_8B_060695
gene:Et_8B_060694 gene:Et_8B_060695
gene:Et_8B_060694 gene:Et_8B_058592
gene:Et_8B_060695 gene:Et_8B_058592
gene:Et_8B_060695 gene:Et_8B_060013
gene:Et_8B_058592 gene:Et_8B_060013
gene:Et_8B_058592 gene:Et_8B_060012
gene:Et_8B_060696 gene:Et_8B_060697
gene:Et_8B_060697 gene:Et_8B_060698
gene:Et_8B_060025 gene:Et_8B_060024
gene:Et_8B_060709 gene:Et_8B_060704
gene:Et_8B_060709 gene:Et_8B_058594
gene:Et_8B_060704 gene:Et_8B_058594
gene:Et_8B_058594 gene:Et_8B_060035
gene:Et_8B_060038 gene:Et_8B_060705
gene:Et_8B_060038 gene:Et_8B_060032
gene:Et_8B_060705 gene:Et_8B_060032
gene:Et_8B_060705 gene:Et_8B_060033
gene:Et_8B_060710 gene:Et_8B_060711
gene:Et_8B_060710 gene:Et_8B_060713
gene:Et_8B_060711 gene:Et_8B_060713
gene:Et_8B_060056 gene:Et_8B_060046
gene:Et_8B_060082 gene:Et_8B_060740
gene:Et_8B_060739 gene:Et_8B_060091
gene:Et_8B_060741 gene:Et_8B_060745
gene:Et_8B_060753 gene:Et_8B_060125
gene:Et_8B_060152 gene:Et_8B_060157
gene:Et_8B_060767 gene:Et_8B_060154
gene:Et_8B_060172 gene:Et_8B_060171
gene:Et_8B_060172 gene:Et_8B_060173
gene:Et_8B_060171 gene:Et_8B_060173
gene:Et_8B_060177 gene:Et_8B_060178
gene:Et_8B_058804 gene:Et_8B_058805
gene:Et_8B_060181 gene:Et_8B_060772
gene:Et_8B_060772 gene:Et_8B_060773
gene:Et_8B_060780 gene:Et_8B_060206
gene:Et_8B_060207 gene:Et_8B_060208
gene:Et_8B_060220 gene:Et_8B_060216
gene:Et_8B_060216 gene:Et_8B_060223
gene:Et_8B_060232 gene:Et_8B_060233
gene:Et_8B_060231 gene:Et_8B_060233
gene:Et_8B_060795 gene:Et_8B_060236
gene:Et_8B_060238 gene:Et_8B_060798
gene:Et_8B_060238 gene:Et_8B_060799
gene:Et_8B_060798 gene:Et_8B_060797
gene:Et_8B_060799 gene:Et_8B_060797
gene:Et_8B_060242 gene:Et_8B_060245
gene:Et_8B_060819 gene:Et_8B_060266
gene:Et_8B_060267 gene:Et_8B_058608
gene:Et_8B_060269 gene:Et_8B_060268
gene:Et_8B_060269 gene:Et_8B_060821
gene:Et_8B_060821 gene:Et_8B_060822
gene:Et_8B_060821 gene:Et_8B_060824
gene:Et_8B_060827 gene:Et_8B_060828
gene:Et_8B_060827 gene:Et_8B_060829
gene:Et_8B_060828 gene:Et_8B_060829
gene:Et_8B_060829 gene:Et_8B_060826
gene:Et_8B_060286 gene:Et_8B_060831
gene:Et_8B_060279 gene:Et_8B_060289
gene:Et_8B_060282 gene:Et_8B_060283
gene:Et_8B_060834 gene:Et_8B_060833
gene:Et_8B_060835 gene:Et_8B_060290
gene:Et_8B_060290 gene:Et_8B_060832
gene:Et_8B_060849 gene:Et_8B_060850
gene:Et_8B_060851 gene:Et_8B_060852
gene:Et_8B_060851 gene:Et_8B_060845
gene:Et_8B_060846 gene:Et_8B_060308
gene:Et_8B_060856 gene:Et_8B_060855
gene:Et_8B_060856 gene:Et_8B_060319
gene:Et_8B_060855 gene:Et_8B_060319
gene:Et_8B_060855 gene:Et_8B_060320
gene:Et_8B_060319 gene:Et_8B_060320
gene:Et_8B_060857 gene:Et_8B_058823
gene:Et_8B_060857 gene:Et_8B_060324
gene:Et_8B_058823 gene:Et_8B_060324
gene:Et_8B_060321 gene:Et_8B_060324
gene:Et_8B_060329 gene:Et_8B_060330
gene:Et_8B_060863 gene:Et_8B_060864
gene:Et_8B_060873 gene:Et_8B_060333
gene:Et_8B_060873 gene:Et_8B_060869
gene:Et_8B_060333 gene:Et_8B_060869
gene:Et_8B_060333 gene:Et_8B_060866
gene:Et_8B_060869 gene:Et_8B_060866
gene:Et_8B_060345 gene:Et_8B_060878
gene:Et_8B_060345 gene:Et_8B_060363
gene:Et_8B_060878 gene:Et_8B_060363
gene:Et_8B_058870 gene:Et_8B_058874
gene:Et_8B_058874 gene:Et_8B_058873
gene:Et_8B_058874 gene:Et_8B_058875
gene:Et_8B_058873 gene:Et_8B_058875
gene:Et_8B_058873 gene:Et_8B_060365
gene:Et_8B_058875 gene:Et_8B_060365
gene:Et_8B_058510 gene:Et_8B_060369
gene:Et_8B_058890 gene:Et_8B_058891
gene:Et_8B_058889 gene:Et_8B_058891
gene:Et_8B_058894 gene:Et_8B_058893
gene:Et_8B_058893 gene:Et_8B_058618
gene:Et_8B_058618 gene:Et_8B_058898
gene:Et_8B_058901 gene:Et_8B_058906
gene:Et_8B_058926 gene:Et_8B_058925
gene:Et_8B_058926 gene:Et_8B_060374
gene:Et_8B_058925 gene:Et_8B_060374
gene:Et_8B_058936 gene:Et_8B_058937
gene:Et_8B_058935 gene:Et_8B_058937
gene:Et_8B_058938 gene:Et_8B_060375
gene:Et_8B_058943 gene:Et_8B_058627
gene:Et_8B_058956 gene:Et_8B_058957
gene:Et_8B_058957 gene:Et_8B_058959
gene:Et_8B_058957 gene:Et_8B_058961
gene:Et_8B_058959 gene:Et_8B_058961
gene:Et_8B_058963 gene:Et_8B_058964
gene:Et_8B_058980 gene:Et_8B_058982
gene:Et_8B_058640 gene:Et_8B_059019
gene:Et_8B_059038 gene:Et_8B_059039
gene:Et_8B_059037 gene:Et_8B_059040
gene:Et_8B_059043 gene:Et_8B_058525
gene:Et_8B_058525 gene:Et_8B_059041
gene:Et_8B_059045 gene:Et_8B_059049
gene:Et_8B_059045 gene:Et_8B_059046
gene:Et_8B_059049 gene:Et_8B_059046
gene:Et_8B_059049 gene:Et_8B_059050
gene:Et_8B_059046 gene:Et_8B_059050
gene:Et_8B_059046 gene:Et_8B_059047
gene:Et_8B_059050 gene:Et_8B_059047
gene:Et_8B_059050 gene:Et_8B_059065
gene:Et_8B_059047 gene:Et_8B_059065
gene:Et_8B_059065 gene:Et_8B_059064
gene:Et_8B_060400 gene:Et_8B_059077
gene:Et_8B_059077 gene:Et_8B_059078
gene:Et_8B_060402 gene:Et_8B_060403
gene:Et_8B_058658 gene:Et_8B_060416
gene:Et_8B_060417 gene:Et_8B_059147
gene:Et_8B_059158 gene:Et_8B_060422
gene:Et_8B_059159 gene:Et_8B_059154
gene:Et_8B_059159 gene:Et_8B_060423
gene:Et_8B_059154 gene:Et_8B_060423
gene:Et_8B_060426 gene:Et_8B_059173
gene:Et_8B_058544 gene:Et_8B_060433
gene:Et_8B_059196 gene:Et_8B_059202
gene:Et_8B_059196 gene:Et_8B_059197
gene:Et_8B_059202 gene:Et_8B_059197
gene:Et_8B_059209 gene:Et_8B_058668
gene:Et_8B_059212 gene:Et_8B_060435
gene:Et_8B_060435 gene:Et_8B_059211
gene:Et_8B_058670 gene:Et_8B_059215
gene:Et_8B_059215 gene:Et_8B_059214
gene:Et_8B_059215 gene:Et_8B_059217
gene:Et_8B_059214 gene:Et_8B_059217
gene:Et_8B_059217 gene:Et_8B_059216
gene:Et_8B_059216 gene:Et_8B_058677
gene:Et_8B_058677 gene:Et_8B_059222
gene:Et_8B_059222 gene:Et_8B_058675
gene:Et_8B_058675 gene:Et_8B_059224
gene:Et_8B_059231 gene:Et_8B_059230
gene:Et_8B_059231 gene:Et_8B_059227
gene:Et_8B_059230 gene:Et_8B_059227
gene:Et_8B_059242 gene:Et_8B_059235
gene:Et_8B_059241 gene:Et_8B_059235
gene:Et_8B_059240 gene:Et_8B_059235
gene:Et_8B_059237 gene:Et_8B_059243
gene:Et_8B_060437 gene:Et_8B_059238
gene:Et_8B_059239 gene:Et_8B_059246
gene:Et_8B_059251 gene:Et_8B_059250
gene:Et_8B_059248 gene:Et_8B_058683
gene:Et_8B_059262 gene:Et_8B_058684
gene:Et_8B_059287 gene:Et_8B_059288
gene:Et_8B_060444 gene:Et_8B_059288
gene:Et_8B_060444 gene:Et_8B_058687
gene:Et_8B_059288 gene:Et_8B_058687
gene:Et_8B_059283 gene:Et_8B_060446
gene:Et_8B_059297 gene:Et_8B_059298
gene:Et_8B_059318 gene:Et_8B_059317
gene:Et_8B_059335 gene:Et_8B_059334
gene:Et_8B_058699 gene:Et_8B_059343
gene:Et_8B_059360 gene:Et_8B_060463
gene:Et_8B_059381 gene:Et_8B_059382
gene:Et_8B_059386 gene:Et_8B_060469
gene:Et_8B_059394 gene:Et_8B_059391
